,agent_gender,agent_year_of_birth,footfall,staypoint_planningarea,datetime
69,M,1981,85,AM,21/2/2018 21:00
450,M,1982,85,AM,21/2/2018 21:00
1555,NA,1977,85,AM,21/2/2018 21:00
1646,NA,1979,85,AM,21/2/2018 21:00
2322,F,1967,82,AM,21/2/2018 21:00
3551,M,1961,82,AM,21/2/2018 21:00
3552,M,1975,82,AM,21/2/2018 21:00
3648,NA,1972,82,AM,21/2/2018 21:00
3926,NA,1978,82,AM,21/2/2018 21:00
4005,F,1988,81,AM,21/2/2018 21:00
4013,M,1985,81,AM,21/2/2018 21:00
4223,F,1968,80,AM,21/2/2018 21:00
4231,F,1974,80,AM,21/2/2018 21:00
4233,F,1982,80,AM,21/2/2018 21:00
4532,F,1985,80,AM,21/2/2018 21:00
4651,M,1958,80,AM,21/2/2018 21:00
4964,F,1987,77,AM,21/2/2018 21:00
465,F,1964,76,AM,21/2/2018 21:00
1713,F,1978,76,AM,21/2/2018 21:00
1799,F,1990,76,AM,21/2/2018 21:00
2223,M,1964,76,AM,21/2/2018 21:00
2444,M,1966,74,AM,21/2/2018 21:00
3330,M,1974,74,AM,21/2/2018 21:00
4085,F,1976,73,AM,21/2/2018 21:00
4305,M,1991,73,AM,21/2/2018 21:00
3769,NA,1975,73,AM,21/2/2018 21:00
3927,M,1980,72,AM,21/2/2018 21:00
4079,M,1987,72,AM,21/2/2018 21:00
4150,NA,1974,72,AM,21/2/2018 21:00
23,F,1963,70,AM,21/2/2018 21:00
436,NA,1968,70,AM,21/2/2018 21:00
457,F,1980,69,AM,21/2/2018 21:00
1569,F,1986,69,AM,21/2/2018 21:00
1572,F,1991,69,AM,21/2/2018 21:00
1868,M,1973,69,AM,21/2/2018 21:00
2317,M,1967,68,AM,21/2/2018 21:00
2320,M,1979,68,AM,21/2/2018 21:00
2539,M,1986,68,AM,21/2/2018 21:00
3327,F,1979,66,AM,21/2/2018 21:00
3328,M,1957,66,AM,21/2/2018 21:00
3869,M,1960,66,AM,21/2/2018 21:00
3917,M,1976,66,AM,21/2/2018 21:00
3939,NA,1998,66,AM,21/2/2018 21:00
4015,F,1989,65,AM,21/2/2018 21:00
4204,NA,1966,65,AM,21/2/2018 21:00
4299,NA,1971,65,AM,21/2/2018 21:00
4438,NA,1997,65,AM,21/2/2018 21:00
1640,F,1958,63,AM,21/2/2018 21:00
1797,F,1983,63,AM,21/2/2018 21:00
2447,F,1984,63,AM,21/2/2018 21:00
2885,M,1955,63,AM,21/2/2018 21:00
3859,F,1965,62,AM,21/2/2018 21:00
3918,M,1956,62,AM,21/2/2018 21:00
4096,F,1961,59,AM,21/2/2018 21:00
4236,F,1977,59,AM,21/2/2018 21:00
4304,NA,1969,59,AM,21/2/2018 21:00
451,NA,1996,59,AM,21/2/2018 21:00
458,M,1993,57,AM,21/2/2018 21:00
1716,F,1956,55,AM,21/2/2018 21:00
1793,F,1959,55,AM,21/2/2018 21:00
1872,F,1962,55,AM,21/2/2018 21:00
1999,F,1966,55,AM,21/2/2018 21:00
2446,F,1975,55,AM,21/2/2018 21:00
2652,M,1992,55,AM,21/2/2018 21:00
2663,M,1995,55,AM,21/2/2018 21:00
2878,F,1992,54,AM,21/2/2018 21:00
2886,F,1994,54,AM,21/2/2018 21:00
3872,NA,1970,51,AM,21/2/2018 21:00
4074,NA,1961,50,AM,21/2/2018 21:00
4213,NA,1965,50,AM,21/2/2018 21:00
4222,F,1995,49,AM,21/2/2018 21:00
4456,M,1954,46,AM,21/2/2018 21:00
4536,M,1994,45,AM,21/2/2018 21:00
106,NA,1954,45,AM,21/2/2018 21:00
442,NA,1964,45,AM,21/2/2018 21:00
445,NA,1957,42,AM,21/2/2018 21:00
1651,NA,1960,42,AM,21/2/2018 21:00
1656,F,1960,41,AM,21/2/2018 21:00
2085,F,1936,40,AM,21/2/2018 21:00
2316,F,1938,40,AM,21/2/2018 21:00
2533,F,1939,40,AM,21/2/2018 21:00
2977,F,1940,40,AM,21/2/2018 21:00
3331,F,1941,40,AM,21/2/2018 21:00
3759,F,1942,40,AM,21/2/2018 21:00
4083,F,1943,40,AM,21/2/2018 21:00
4138,F,1944,40,AM,21/2/2018 21:00
4297,F,1945,40,AM,21/2/2018 21:00
4527,F,1946,40,AM,21/2/2018 21:00
4652,F,1947,40,AM,21/2/2018 21:00
4866,F,1948,40,AM,21/2/2018 21:00
